_id,Title,URL,Provider,Cost,Public/DOD,Time Commitment (Hours),Certificate/Degree Program,Data Topic Area,Programming Language,Base of Operations,Barrier to Entry,Self Paced vs Instructor Led,Learning type,In person vs Remote,Comment,Helpfullness Rating,vote,voteCount
60dcc2b1681e780fe958cda3,Data Science with Python and Dask,https://www.manning.com/books/data-science-with-python-and-dask,Manning Publications,49,Public,,No,"Data Science, Tutorial, Data Science",Python,Remote,Advanced,Self-paced,Book,Remote,"The most comprehensive coverage of Dask to date, with real-world examples that made a difference in my daily work.",0,0,0
60dcc2b1681e780fe958cda4,Intro to Python for Data Science,https://www.datacamp.com/courses/intro-to-python-for-data-science,DataCamp,25,Public,4,No,"Data Science, Tutorial, Data Science",Python,Remote,Beginner,Self-paced,"Video, Interactive",Remote,DataCamp’s Intro to Python course teaches you how to use Python programming for data science with interactive video tutorials. Start learning Python today!,0,0,0
60dcc2b1681e780fe958cda5,Ultimate Guide on Data Science - Learn to Make Python Data Structures,https://www.bitdegree.org/course/python-data-structures,BitDegree,36,Public,20,No,"Data Science, Tutorial, Data Science",Python,Remote,Beginner,Self-paced,Video,Remote,Want to learn python data structures? Start your journey in data science - follow this course to learn python data structures & the pandas dataframe!,0,0,0
60dcc2b1681e780fe958cda6,Solving A Simple Classification Problem with Python — Fruits Lovers’ Edition,https://towardsdatascience.com/solving-a-simple-classification-problem-with-python-fruits-lovers-edition-d20ab6b071d2,towardsdatascience,0,Public,1,No,"Data Science, Classification",Python,United States,Intermediate,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cda7,"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",https://www.youtube.com/watch?v=r-uOLxNrNk8,youtube/freeCodeCamp.org,0,Public,4,No,"Data Science, Data Analytics, Data Science",Python,United States,Intermediate,Self Paced,Video,Remote,"Really long free course basically on Data Analysis in Python, Also includes a synergy with Matlab with a python package",100,1,1
60dcc2b1681e780fe958cda8,Natural Language Processing (NLP) Tutorial with Python & NLTK,https://www.youtube.com/watch?v=X2vAabgKiuM,youtube,0,Public,<1,No,"Data Science, Natural Language Processing",Python,United States,Advanced,Self Paced,Video,Remote,,0,0,2
60dcc2b1681e780fe958cda9,Introduction to Python for Data Science,https://academy.vertabelo.com/course/python-data-science,Vertabelo Academy,39,Public,,No,"Data Science, Tutorial, Data Analysis",Python,Remote,Beginner,Self-paced,"Video, Interactive",Remote,Are you interested in data programming? Or maybe you’re a beginner data scientist or you take classes in data analysis? This course is just for you! Start now and become a master in analysing and presenting data!,0,0,0
60dcc2b1681e780fe958cdaa,Natural Language Processing With Python's NLTK Package,https://realpython.com/nltk-nlp-python/,Real Python,0,Public,1,No,"Data Science, Natural Language Processing",Python,,Beginner,Self Paced,Text,Remote,,0,0,2
60dcc2b1681e780fe958cdab,NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/?ranMID=39197&ranEAID=JVFxdTr9V80&ranSiteID=JVFxdTr9V80-_vTyRr0FZOgmrPSAw7mzYg&utm_source=aff-campaign&utm_medium=udemyads&LSNPUBID=JVFxdTr9V80,udemy,94,Public,12,No,"Data Science, Natural Language Processing",Python,,Intermediate,Instructor Led,"Video, Interactive",Remote,,100,1,1
60dcc2b1681e780fe958cdac,A Beginner’s Guide to Data Analysis in Python,https://towardsdatascience.com/a-beginners-guide-to-data-analysis-in-python-188706df5447,towardsdatascience,0,Public,1,No,"Data Science, Statistics, Data Analytics, Visualization, Data Science",Python,United States,Intermediate,Self Paced,Text,Remote,,0,0,5
60dcc2b1681e780fe958cdad,Image Data Analysis Using Python,https://towardsdatascience.com/image-data-analysis-using-python-edddfdf128f4,towardsdatascience,0,Public,1,No,"Data Science, Image Analysis",Python,United States,Intermediate,Self Paced,Text,Remote,,0,0,5
60dcc2b1681e780fe958cdae,Data Science,https://www.kaggle.com/learn/natural-language-processing,Kaggle,0,Public,4,No,"Data Science, Natural Language Processing",Python,Online,Beginner,Self Paced,Video,Remote,,0,0,0
60dcc2b1681e780fe958cdaf,Data Science,https://www.tutorialspoint.com/natural_language_processing/index.htm,tutorialspoint,0,Public,,No,"Data Science, Natural Language Processing",Python,Online,Beginner,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdb0,Mastering Large Datasets with Python,https://www.manning.com/books/mastering-large-datasets-with-python,Manning Publications,49,Public,,No,"Data Science, Tutorial, Data Analysis",Python,Remote,Intermediate,Self-paced,Book,Remote,,0,0,0
60dcc2b1681e780fe958cdb1,Python for Data Science,http://www.youtube.com/playlist?list=PL2-dafEMk2A6QKz1mrk1uIGfHkC1zZ6UU,YouTube,0,Public,1,No,"Data Science, Tutorial, Data Analysis",Python,Remote,Intermediate,Self-paced,Video,Remote,,0,0,4
60dcc2b1681e780fe958cdb2,Data Science with Python and Dask,https://www.manning.com/books/data-science-with-python-and-dask,Manning Publications,49,Public,,No,"Data Science, Tutorial, Data Science",Dask,Remote,Advanced,Self-paced,Book,Remote,"The most comprehensive coverage of Dask to date, with real-world examples that made a difference in my daily work.",0,0,0
60dcc2b1681e780fe958cdb3,Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651,Udacity,0,Public,2 months,No,"Data Science, Tutorial",R,Remote,Intermediate,Self-paced,"Video, Interactive",Remote,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,0,0,0
60dcc2b1681e780fe958cdb4,Intro to Data Science with R,http://www.youtube.com/playlist?list=PLTJTBoU5HOCRrTs3cJK-PbHM39cwCU0PF,YouTube,0,Public,9,No,"Data Science, Tutorial",R,Remote,Beginner,Self-paced,Video,Remote,"This series is a comprehensive introduction to Data Science using the R programming language. Viewers learn critical skills in Data Exploration, Data Visuali...",0,0,0
60dcc2b1681e780fe958cdb5,R Programming for Data Science Training Course,https://intellipaat.com/r-programming-certification-training/,Intellipaat,211,Public,14,No,"Data Science, Tutorial",R,Remote,Beginner,"Self-paced, Insructor Led",Video,Remote,"Intellipaat R course lets you learn R programming language that is deployed for varied purposes like graphic representation, statistical analysis and reporting. With this Data Science certification course for R programming, you will be able to get a clear understanding of the core concepts like importing data in various formats for statistical computing, data manipulation, Business Analytics, Machine Learning algorithms and data visualization. You will learn various functions, data structures, variables, flow of control and R integration with Hadoop tough practical R exercises.",0,0,0
60dcc2b1681e780fe958cdb6,Learn R Programming and Data Science Interactively,http://swirlstats.com,Responsive image,0,Public,,No,"Data Science, Tutorial",R,Remote,Beginner,Self-paced,Interactive,Remote,:computer: swirl’s official website,0,0,0
60dcc2b1681e780fe958cdb7,R for Data Science,https://r4ds.had.co.nz,r4ds.had.co.nz,0,Public,,No,"Data Science, Tutorial",R,Remote,Intermediate,Self-paced,Book,Remote,"This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it, visualise it and model it. In this book, you will find a practicum of skills for data science. Just as a chemist learns how to clean test tubes and s…",0,0,0
60dcc2b1681e780fe958cdb8,R for Data Science,https://r4ds.had.co.nz,r4ds.had.co.nz,0,Public,,No,"Data Science, Tutorial, Data Science",R,Remote,Intermediate,Self-paced,Book,Remote,"This book will teach you how to do data science with R: You’ll learn how to get your data into R, get it into the most useful structure, transform it, visualise it and model it. In this book, you will find a practicum of skills for data science. Just as a chemist learns how to clean test tubes and s…",100,1,1
60dcc2b1681e780fe958cdb9,Learn R Programming and Data Science Interactively,http://swirlstats.com,Responsive image,0,Public,,No,"Data Science, Tutorial, Data Science",R,Remote,Beginner,Self-paced,Interactive,Remote,"swirl teaches you R programming and data science interactively, at your own pace, and right in the R console!",0,0,0
60dcc2b1681e780fe958cdba,Data Analysis and Visualization Using R,http://varianceexplained.org/RData/,varianceexplained.org,0,Public,,No,"Data Science, Tutorial, Data Science",R,Remote,Beginner,Self-paced,Video,Remote,"This is a course that combines video, HTML and interactive elements to teach the statistical programming language R.",0,0,0
60dcc2b1681e780fe958cdbb,R Programming for Data Science Training Course,https://intellipaat.com/r-programming-certification-training/,Intellipaat,211,Public,14,No,"Data Science, Tutorial, Data Science",R,Remote,Beginner,"Self-paced, Insructor Led",Video,Remote,"Intellipaat R course lets you learn R programming language that is deployed for varied purposes like graphic representation, statistical analysis and reporting. With this Data Science certification course for R programming, you will be able to get a clear understanding of the core concepts like importing data in various formats for statistical computing, data manipulation, Business Analytics, Machine Learning algorithms and data visualization. You will learn various functions, data structures, variables, flow of control and R integration with Hadoop tough practical R exercises.",0,0,0
60dcc2b1681e780fe958cdbc,"Practical Data Science with R, Second Edition",https://www.manning.com/books/practical-data-science-with-r-second-edition,Manning Publications,49,Public,,No,"Data Science, Tutorial",R,Remote,Intermediate,Self-paced,Book,Remote,"A detailed, well explained book to the real life practice of data science techniques.",0,0,0
60dcc2b1681e780fe958cdbd,Intro to Data Science with R,http://www.youtube.com/playlist?list=PLTJTBoU5HOCRrTs3cJK-PbHM39cwCU0PF,YouTube,0,Public,9,No,"Data Science, Tutorial",R,Remote,Beginner,Self-paced,Video,Remote,"This series is a comprehensive introduction to Data Science using the R programming language. Viewers learn critical skills in Data Exploration, Data Visuali...",0,0,0
60dcc2b1681e780fe958cdbe,Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651,Udacity,0,Public,2 months,No,"Data Science, Tutorial",R,Remote,Intermediate,Self-paced,"Video, Interactive",Remote,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,0,0,0
60dcc2b1681e780fe958cdbf,Complete Guide to Data Visualization with Python,https://towardsdatascience.com/complete-guide-to-data-visualization-with-python-2dd74df12b5e,towardsdatascience,0,Public,1,No,"Data Visualization, Visualization",Python,United States,Intermediate,Self Paced,Text,Remote,,0,0,2
60dcc2b1681e780fe958cdc0,Plot With Pandas: Python Data Visualization for Beginners,https://realpython.com/pandas-plot-python/,Real Python,0,Public,1,No,"Data Visualization, Visualization",Python,Canada,Intermediate,Self Paced,Text,Remote,,0,0,3
60dcc2b1681e780fe958cdc1,Young Architect Guide: 11 Quick Tips and Tricks for Mastering Rhino,https://architizer.com/blog/practice/tools/rhinos-hidden-secrets/,architizer,0,Public,<1,No,"Data Visualization, Visualization, Modeling",Rhino,United States,Intermediate,Self Paced,Text,Remote,,0,0,2
60dcc2b1681e780fe958cdc2,"Julia 1.0 Programming: Dynamic and high-performance programming to build fast scientific applications, 2nd Edition",https://www.amazon.com/Julia-1-0-Programming-Science-projects-dp-1788999096/dp/1788999096/ref=dp_ob_title_bk,Amazon,39,Public,,No,"Data Visualization, Database, Visualization, Data Science, Programming Basics",Julia,United States,Beginner,Self Paced,Book,Remote,,0,0,3
60dcc2b1681e780fe958cdc3,"Julia Tutorial | How to Visualize data in Julia",https://www.youtube.com/watch?v=R5V13l22bn8,youtube,0,Public,<1,No,"Data Visualization, Visualization",Julia,United States,Intermediate,Self Paced,Video,Remote,,0,0,4
60dcc2b1681e780fe958cdc4,Julia for Interactive Data Visualization,https://www.youtube.com/watch?v=Ns09HR43zEY,youtube,0,Public,<1,No,"Data Visualization, Visualization",Julia,United States,Intermediate,Self Paced,"Video, Lectures",Remote,,0,0,0
60dcc2b1681e780fe958cdc5,MERN Full-Stack JavaScript Development,https://www.lynda.com/Express-js-tutorials/Learning-Full-Stack-JavaScript-Development-MongoDB-Node-React/533304-2.html,Lynda.com - from LinkedIn,19,Public, ,No,"Data Visualization, Programming Basics",Javascript,United States,Intermediate ,Self-paced,Video,Remote,"Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js, in this hands-on JavaScript programming course.",0,0,0
60dcc2b1681e780fe958cdc6,Data Analysis and Visualization Using R,http://varianceexplained.org/RData/,varianceexplained.org,0,Public,,No,"Data Visualization, Tutorial",R,Remote,Beginner,Self-paced,Video,Remote,"This is a course that combines video, HTML and interactive elements to teach the statistical programming language R.",0,0,0
60dcc2b1681e780fe958cdc7,Advanced C++ Graphics Tutorials,http://www.youtube.com/playlist?list=PLSPw4ASQYyymu3PfG9gxywSPghnSMiOAW,YouTube,0,Public,29,No,"Data Visualization, Tutorial",C++,Remote,Advanced,Self-paced,Video,Remote,Tutorials that go in to more advanced C++ and gamedev concepts and teach OpenGL for a simple 2D game engine.,0,0,0
60dcc2b1681e780fe958cdc8,C++ and Game Tutorials,http://www.youtube.com/playlist?list=PLSPw4ASQYyynKPY0I-QFHK0iJTjnvNUys,YouTube,0,Public,16,No,"Data Visualization, Tutorial",C++,Remote,Beginner,Self-paced,Video,Remote,C++ and video game development tutorials for absolute beginners.,0,0,0
60dcc2b1681e780fe958cdc9,SAS Visual Business Analytics,https://www.coursera.org/professional-certificates/sas-visual-business-analytics,SAS,399,Public,4 hours/week,Yes,"Data Visualization, ",SAS,California,Beginner,Self Paced,"Video, Text",Remote,,0,0,0
60dcc2b1681e780fe958cdca,Getting Started with SAS Visual Analytics,https://www.coursera.org/learn/preparing-data-sas-va,SAS,399,Public,5,No,"Data Visualization, ",SAS,California,Beginner,Self Paced,"Video, Text",Remote,,0,0,0
60dcc2b1681e780fe958cdcb,Data Analysis and Reporting in SAS Visual Analytics,https://www.coursera.org/learn/data-analysis-reporting-sas-va,SAS,399,Public,9,No,"Data Visualization, ",SAS,California,Mixed,Self Paced,"Video, Text",Remote,,0,0,0
60dcc2b1681e780fe958cdcc,Creating Advanced Reports with SAS Visual Analytics,https://www.coursera.org/learn/advanced-reports-sas-va,SAS,399,Public,9,No,"Data Visualization, ",SAS,California,Intermediate,Self Paced,"Video, Text",Remote,,0,0,0
60dcc2b1681e780fe958cdcd,Machine Learning Onramp,https://matlabacademy.mathworks.com/R2021a/portal.html?course=machinelearning,MathWorks,0,"Public, License Required",2,No,"AI/Machine Learning, Machine Learning",Matlab,Remote,Intermediate,Self Paced,"Video, Interactive",Remote,,NaN,1,1
60dcc2b1681e780fe958cdce,Machine Learning with MATLAB,https://www.mathworks.com/videos/machine-learning-with-matlab-81984.html,Mathworks,0,Public,1,No,"AI/Machine Learning, Machine Learning",Matlab,United States,Advanced,Self Paced,Video,Remote,,0,0,5
60dcc2b1681e780fe958cdcf,Advanced AI: Deep Reinforcement Learning in Python,https://www.udemy.com/deep-reinforcement-learning-in-python/,Udemy,29,Public,10.5,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Advanced,Self-paced,Video,Remote,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,0,0,0
60dcc2b1681e780fe958cdd0,Practical Deep Learning for Coders,https://course.fast.ai/,Fast.ai,0,Public,10,No,"AI/Machine Learning, Machine Learning, Data Analytics, Regression, Classification, Natural Language Processing",Python,Digital,Advanced,Self Paced,Video,Remote,It's helpful!,0,0,0
60dcc2b1681e780fe958cdd1,Advanced Machine Learning Specialization,https://www.coursera.org/learn/language-processing,Coursera,0,Public,32,No,"AI/Machine Learning, Natural Language Processing",Python,,Advanced,Instructor Led,Video,Remote,,0,0,0
60dcc2b1681e780fe958cdd2,Python Machine Learning Tutorial (Data Science),https://www.youtube.com/watch?v=7eh4d6sabA0,youtube,0,Public,1,No,"AI/Machine Learning, Machine Learning, Data Analytics, Data Science",Python,"San Bruno, CA",Advanced,Instructor Led,Video,Remote,,0,0,0
60dcc2b1681e780fe958cdd3,Your First Machine Learning Project in Python Step-By-Step,https://machinelearningmastery.com/machine-learning-in-python-step-by-step/,machinelearningmastery,0,Public,2,No,"AI/Machine Learning, Machine Learning",Python,Australia,Advanced,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdd4,"Python Machine Learning, 1st Edition",https://www.amazon.com/Python-Machine-Learning-Sebastian-Raschka/dp/1783555130,Amazon,35,Public,,No,"AI/Machine Learning, Machine Learning",Python,,Expert,Self Paced,Book,Remote,,0,0,0
60dcc2b1681e780fe958cdd5,Python Machine Learning Tutorials,https://realpython.com/tutorials/machine-learning/,Real Python,0,Public,,No,"AI/Machine Learning, Machine Learning, Data Analytics, Image Analysis, Classification, Natural Language Processing, Computer Vision",Python,Canada,Advanced,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdd6,"Start Here with Computer Vision, Deep Learning, and OpenCV",https://www.pyimagesearch.com/start-here/,pyimagesearch,0,Public,2,No,"AI/Machine Learning, Machine Learning, Data Analytics, Image Analysis, Computer Vision, Medicine",Python,United States,Advanced,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdd7,How to Generate Images - Intro to Deep Learning #14,https://www.youtube.com/watch?v=3-UDwk1U77s,Youtube,0,Public,<1,No,"AI/Machine Learning, Machine Learning, Image Generation",Python,United States,Advanced,Self Paced,Video,Remote,,0,0,2
60dcc2b1681e780fe958cdd8,Machine Learning - Linear Regression,https://www.w3schools.com/python/python_ml_linear_regression.asp,W3Schools,0,Public,0,No,"AI/Machine Learning, Regression",Python,Norway,Intermediate,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdd9,Advanced Computer Vision with Python - Full Course,https://www.youtube.com/watch?v=01sAkU_NvOY,youtube,0,Public,7,No,"AI/Machine Learning, Computer Vision",Python,United States,Advanced,Self Paced,Video,Remote,,0,0,0
60dcc2b1681e780fe958cdda,AI Programming with Python,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity,NaN,Public,120,Yes,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Advanced,Instructor Lead,Video,Remote,"Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra—the foundations for building your own neural network.",0,0,0
60dcc2b1681e780fe958cddb,Artificial Intelligence Full Course,https://www.youtube.com/watch?v=8Pyy2d3SZuM,YouTube,0,Public,6,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",Python,Remote,Beginner,Self-paced,Video,Remote,"This video on the Artificial Intelligence tutorial will make you learn in detail about the different concepts involved in AI. First, you will understand the ...",0,0,0
60dcc2b1681e780fe958cddc,IBM Applied AI Professional Certificate,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,Coursera,NaN,Public,72,Yes,"AI/Machine Learning, Tutorial, Artificial Intelligence",Python,Remote,Beginner,Self-paced,Video,Remote,"Learn IBM Applied AI Professional Certificate from IBM. Artificial Intelligence (AI) is transforming our world. Whether you’re a student, developer, or a technology consultant, understanding AI and knowing how to create AI powered applications ...",0,0,0
60dcc2b1681e780fe958cddd,Deep Learning with Python,https://www.manning.com/books/deep-learning-with-python,Manning Publications,59,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",Python,Remote,Advanced,Self-paced,Book,Remote,The clearest explanation of deep learning I have come across...it was a joy to read.,0,0,0
60dcc2b1681e780fe958cdde,Linear regression using Minitab ,https://statistics.laerd.com/minitab-tutorials/linear-regression-using-minitab.php,Laerd Statistics ,0,Public,<1,No,"AI/Machine Learning, Statistics, Regression",Minitab,Online,Beginner,Self Paced,Text,Remote,,0,0,3
60dcc2b1681e780fe958cddf,Succeeding with AI,https://www.manning.com/books/succeeding-with-ai?a_aid=gitconnected,Manning Publications,0,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Beginner,Self-paced,Book,Remote,If you’re a business leader hearing that AI is the new black and are afraid you’re missing out then be sure to read this book before starting!,0,0,0
60dcc2b1681e780fe958cde0,Linear Regression in Machine Learning ,https://www.javatpoint.com/linear-regression-in-machine-learning,JavaTPoint,0,Public,,No,"AI/Machine Learning, Machine Learning, Data Analytics, Regression",,Online,Beginner,Self Paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cde1,"But what is a neural network? | Chapter 1, Deep learning",https://www.youtube.com/watch?v=aircAruvnKk,youtube,0,Public,<1,No,"AI/Machine Learning, Machine Learning, neural network",,,Intermediate,Self Paced,Video,Remote,,0,0,5
60dcc2b1681e780fe958cde2,Artificial Intelligence A-Z: Learn How to Build an AI,https://www.udemy.com/artificial-intelligence-az/,Udemy,149,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,,Self-paced,Video,Remote,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",0,0,0
60dcc2b1681e780fe958cde3,Artificial Intelligence from MIT Open Courseware,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010/lecture-videos/,MIT OpenCourseWare,0,Public,16.5,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Intermediate,Self-paced,Video,Remote,"This section provides full-length lecture videos that cover the content of the course. Lecture 20, which focuses on the AI business, is not available.",0,0,0
60dcc2b1681e780fe958cde4,Intro to Artificial Intelligence - Udacity,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,Udacity,0,Public,30,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Intermediate,Self-paced,"Video, Interactive",Remote,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",100,1,1
60dcc2b1681e780fe958cde5,Artificial Intelligence: A Modern Approach,https://www.amazon.com/Artificial-Intelligence-Modern-Approach-3rd/dp/0136042597,Amazon,159,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Intermediate,Self-paced,Book,Remote,"Artificial Intelligence: A Modern Approach (3rd Edition) [Stuart Russell, Peter Norvig] on Amazon.com. *FREE* shipping on qualifying offers. <p style= margin:0px; > Artificial Intelligence: A Modern Approach, 3e</i> offers the most comprehensive",0,0,0
60dcc2b1681e780fe958cde6,Intro to AI from UC Berkeley,http://ai.berkeley.edu/lecture_videos.html,ai.berkeley.edu,0,Public,35,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Intermediate,Self-paced,Video,Remote,,0,0,0
60dcc2b1681e780fe958cde7,Learn the fundamentals of Artificial Intelligence,https://www.edx.org/course/artificial-intelligence-ai-columbiax-csmm-101x-0,edX,249,Public,120,Yes,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Advanced,Instructor-Led,Video,Remote,"Learn the fundamentals of Artificial Intelligence (AI), and apply them. Design intelligent agents to solve real-world problems including, search, games, machine learning, logic, and constraint satisfaction problems.",0,0,0
60dcc2b1681e780fe958cde8,Machine Learning for Mere Mortals,https://www.manning.com/livevideo/machine-learning-for-mere-mortals,Manning Publications,NaN,Public,3.5,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Beginner,Self-paced,Video,Remote,A great course for mere mortals!,0,0,0
60dcc2b1681e780fe958cde9,Knowledge-Based AI: Cognitive Systems,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,Udacity,0,Public,50,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Advanced,Self-paced,Video,Remote,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,0,0,0
60dcc2b1681e780fe958cdea,Elements of AI,https://course.elementsofai.com/,course.elementsofai.com,0,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Beginner,Self-paced,Text,Remote,,0,0,0
60dcc2b1681e780fe958cdeb,IBM AI Enterprise Workflow Specialization,https://www.coursera.org/specializations/ibm-ai-workflow,Coursera,NaN,Public,80,Yes,"AI/Machine Learning, Tutorial, Artificial Intelligence, Data Science",,Remote,Advanced,Self-paced,Video,Remote,"Learn IBM AI Enterprise Workflow from IBM. This six course specialization is designed to prepare you to take the certification examination for IBM AI Enterprise Workflow V1 Data Science Specialist. IBM AI Enterprise Workflow is a comprehensive, ...",0,0,0
60dcc2b1681e780fe958cdec,Machine Learning with TensorFlow,https://www.manning.com/books/machine-learning-with-tensorflow,Manning Publications,0,Public,,No,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Intermediate,Self-paced,Book,Remote,A great guide to machine learning. It helped launch my third career!,0,0,0
60dcc2b1681e780fe958cded,Introduction to AI,https://www.experfy.com/training/courses/introduction-to-ai-b4c46d64-8cb4-4f6d-b74d-a4ad68814a04,Introduction to AI - Experfy,79,Public,,Yes,"AI/Machine Learning, Tutorial, Artificial Intelligence",,Remote,Beginner,Self-paced,"Video, Text",Remote,"In this course, you will learn about Artificial Intelligence including its History, Problem Solving, Learning Approaches, Tools, Problems to be Solved and Applications. Taught by the top leading instructors on Harvard-incubated Experfy.",0,0,0
